EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,0,0,0,1,0,0,11,põgenema
0,0,1,0,0,0,1,0,0,11,põgenema
0,0,1,0,0,0,1,0,0,11,põgenema
0,0,1,0,0,0,1,0,0,11,põgenema
0,0,1,0,0,0,1,0,0,11,põgenema
0,0,1,0,0,1,1,0,0,11,põgenema; hanso
0,0,1,0,0,1,1,1,0,11,põgenema; hanso
0,0,0,0,0,1,1,1,0,11,põgenema; hanso
0,0,1,0,0,1,3,1,0,11,põgenema; hanso; vangla; elmar
0,0,1,0,0,1,1,0,0,11,põgenema; hanso
0,0,1,0,0,1,0,0,0,11,hanso
