EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,0,0,1,1,1,0,10,raadio; eriala; näitleja
0,0,1,0,0,1,1,1,0,10,raadio; eriala; näitleja
0,0,1,0,0,1,1,1,0,10,raadio; eriala; näitleja
0,0,1,0,0,1,1,1,0,10,raadio; eriala; näitleja
0,0,0,0,0,1,1,1,0,10,eriala; näitleja
0,0,1,0,0,1,1,1,0,10,eriala; näitleja
0,0,0,0,0,0,1,1,0,10,keskkool; näitleja
0,0,0,0,0,0,0,1,0,10,näitleja
0,0,1,0,0,0,0,1,0,10,eriala; näitleja
0,0,1,0,0,0,0,1,0,10,eriala; näitleja
0,1,0,0,0,0,0,1,0,10,eriala; näitleja
