EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,3,2,3,1,3,4,4,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,5,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,4,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
2,4,3,2,3,1,3,4,4,13,nurk; vangla; salaja; raamat; aasta; ämber; martin; kommunistlik; sidepidamine
