keyphrase;score
touch mahhaali;0.8719
sõnal värv;0.8507
näiteks touch;0.8491
üheksavägine ütlete;0.8473
mõtlemise mõju;0.8463
õnnestus tartu;0.8443
luule stroo;0.8443
loodimisel prosaist;0.8427
sõnal suhe;0.8413
kooligrammatika mõjub;0.841
kasuahnus relvaäri;0.8406
lõpuks metcati;0.8406
sõnal jõudu;0.8403
õiglasem eksvõim;0.8391
sõnad tegelikult;0.8391
tartu linn;0.8377
mõtleb ütleb;0.8355
keele-aavik aavik;0.8353
kristiine keskus;0.8342
õppetund üldse;0.8321
no3 käsikiri;0.8317
kaljo käärid;0.8316
põlvkond lõppude;0.8312
dissageli pilk;0.8309
külluslik lapsepõlv;0.8307
võnnus tädipojad;0.8306
õnnetu mängisin;0.8306
mänguasju mängisin;0.8287
südametunnistus mõttes;0.8286
jõudu mõjub;0.8285
öeldi paad;0.8284
sõnad häälega;0.8278
lõpe hästi;0.8278
tegelikult kirjutamisalus;0.8277
lapsepõlves öeldi;0.8277
sõdu meeletu;0.8271
välimus võib-olla;0.827
ilus eestisügis;0.8269
täiend parasiitsõna;0.8267
päev näete;0.8262
lõpus lihtsalt;0.8262
tõstmine teatud;0.826
tegelikult mõtet;0.8259
ülikoolis ülikoolis;0.8257
sõnal vägi;0.8256
kiirus lühidus;0.825
telesaateid ülemnõukogu;0.8246
mõtlesin täiend;0.8243
üldine energiakadu;0.8242
räägib mõtleb;0.8241
mitmus täielikult;0.824
rõõmus lapsepõlve;0.8238
öeldud lapsepõlves;0.8232
liigub süsteem;0.823
paralleelvormid lühike;0.8223
keele luule;0.8215
värv sõnal;0.8215
sõnad elusolendid;0.8214
nutma dissageli;0.8212
hädas tartu;0.8209
sõnad tihtipeale;0.8204
ülesanne eestis;0.8199
tartu ülikooli;0.8198
päriselt küsimus;0.8198
majandusteaduslik lihtsalt;0.8197
luule tuse;0.8193
küsimus lause;0.819
ülikondades härrad;0.8179
sõnal emotsioon;0.8177
lühike mitmus;0.8175
häbeneda ülikoolis;0.8169
sõnad sõnad;0.8167
kirjutatakse lihtsalt;0.8164
sünnipäeva eelõhtul;0.8163
lõpus nõuanne;0.8162
tähenärimise öeldakse;0.8162
tundub huvitav;0.8161
tasaema töötab;0.816
näpud põhjas;0.8159
käib cesama;0.8159
proosa lastekirjandus;0.8153
vaimses mõttes;0.8152
viimane ülemnõukogu;0.815
nähtavasti antennid;0.8149
lauru loits;0.8149
võib-olla haritlaskond;0.8148
valgus valgus;0.8146
kirjutab mõtleb;0.8146
kadunud võib-olla;0.8144
peamine lihvimine;0.8139
kujutasin asju;0.8134
järjekorras sõnad;0.8134
ettenägemise võimet;0.8132
reisilaeva estonia;0.8131
mitmust kahju;0.8131
urmas alenderi;0.8127
gerda laugaste;0.8124
tuhin ameerikast;0.8122
õppetundide halvasti;0.812
lisse kiirus;0.8119
tõmbame lõuna-eesti;0.8119
romaanid räägivad;0.8119
sõna värvi;0.8119
käänded kavad;0.8118
emaõpet taia;0.8118
seegi tähelepanek;0.8117
sõna neljasilbiline;0.8117
inimesed rääkisid;0.8116
essid mustades;0.8116
õnnelik näiteks;0.8116
sõna kordus;0.8115
tartu südalinna;0.8114
emotsioon sõnal;0.8114
raamatuid nõukogude;0.8113
prosaist luuletaja;0.8113
rahvuslikkuse peod;0.8111
sõnal ettenägemise;0.811
lihtsalt näitab;0.8109
lastekirjandus tegelikult;0.8106
haritlaskond muutunud;0.8102
muusika mõjutab;0.8102
küsida tegelikult;0.81
tundub kooligrammatika;0.8099
peep sarapik;0.8098
keskpaigast ülemised;0.8098
sõna- päriselt;0.8097
näiteks prillitoos;0.8095
ülemised tahavad;0.8094
luule kultuuriessents;0.8094
hästi kasu;0.8094
halvasti rõõmus;0.8094
laulutuld püha;0.8091
vanainimesed räägivad;0.8086
proosateostes kompositsioon;0.8086
alex asja;0.8083
luule anud;0.8083
silbid jõudu;0.8082
rajoonileht luule;0.8081
põhjas haritud;0.808
tädipojad tegelikult;0.8077
tänada loomulik;0.8076
lause täiend;0.8076
vajavad täiskasvanu;0.8076
kavatseb võimu;0.8076
moes tessita;0.8072
tartu linnas;0.8072
tunud tegelikult;0.8069
ükskord no;0.8069
arusaamise võimalik;0.8068
täide täide;0.8066
lilledega tädi;0.8066
paljud jälle;0.8066
näpud puhtad;0.8066
juured sügaval;0.8065
nõukogude aeg;0.8064
nägin kaunis;0.8062
palga tõstmine;0.806
mitmuses no;0.8057
natuke õnnetu;0.8056
oska öelda;0.8056
ühesõnaga igapäevaelu;0.8054
luuletustes sõna;0.8054
luule kultuuriliik;0.8053
postkasti etta;0.8051
töö teletöö;0.805
kirjutamisalus rääkisin;0.805
sõna milagoole;0.805
võimalik leppida;0.8048
sõna juurdikati;0.8047
hädas tean;0.8046
vertikaalne rabav;0.8045
ajal tänavu;0.8045
romaanid naist;0.8044
kauge luule;0.8043
telli toitlustame;0.8041
luule proosa;0.8041
horisontaalne vesi;0.8039
sõda sõja;0.8039
grammatika ilusam;0.8039
öelda õnnetu;0.8038
värsside tänavu;0.8038
nägid hullu;0.8036
väge pöördutud;0.8035
sõnade järjekorda;0.8034
mõtlen natuke;0.8034
ajal üldse;0.8029
tänulikud unustame;0.8022
kirjuta eluloost;0.8019
raha räägib;0.8017
pööra ilmselt;0.8016
ütleb ütle;0.8015
täiendsõna ajal;0.8014
kadunud keele-aavik;0.8013
nõus toimub;0.8006
maailma asjad;0.799
koristamata pööra;0.7986
suur rahvasumm;0.7985
vahetame teemat;0.798
vägi maailm;0.798
paljud vanainimesed;0.7968
