EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,4,2,5,3,2,6,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
4,6,5,2,5,4,2,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
4,6,5,2,6,4,3,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
4,6,5,2,6,3,3,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
4,6,5,2,6,3,4,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,5,2,6,3,4,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
4,6,5,4,6,2,5,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,5,5,6,3,4,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,4,5,6,4,4,4,5,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,5,5,6,4,4,4,5,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,4,5,5,6,4,5,3,5,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
