EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,8,8,8,8,10,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
10,10,9,8,8,8,9,10,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
10,10,10,8,8,8,10,10,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
10,10,10,8,8,8,10,10,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
10,10,10,8,8,9,10,9,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,10,10,9,6,9,10,7,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,10,10,9,6,10,10,7,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,9,10,9,7,10,9,7,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,9,9,8,8,10,8,7,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,9,9,9,9,10,9,8,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,10,8,10,9,10,10,8,0,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
