EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,4,2,3,3,3,3,0,11,kanakasvataja; austraalia; reis; mulje
2,3,4,2,3,3,3,3,0,11,kanakasvataja; austraalia; reis; mulje
1,3,4,2,3,3,3,3,0,11,kanakasvataja; austraalia; reis; mulje
3,4,4,2,3,3,3,3,0,11,kanakasvataja; austraalia; mulje; reis
3,4,4,2,3,3,4,3,0,11,kanakasvataja; austraalia; mulje; reis
3,4,4,3,4,3,4,4,0,11,kanakasvataja; austraalia; mulje; reis
2,4,4,4,4,3,3,3,0,11,mulje; austraalia; kanakasvataja; reis
3,4,4,4,4,3,3,3,0,11,mulje; austraalia; kanakasvataja; reis
3,4,4,4,4,3,4,3,0,11,mulje; austraalia; kanakasvataja; reis
3,4,3,4,3,4,4,3,0,11,mulje; austraalia; kanakasvataja; reis
3,4,2,4,3,3,3,3,0,11,mulje; austraalia; kanakasvataja; reis
