EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,5,5,4,4,5,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,5,5,5,4,5,5,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,4,5,5,4,5,4,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,5,5,5,5,5,4,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,5,5,5,4,5,4,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,6,4,4,5,5,5,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,5,4,5,6,5,5,4,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,3,5,5,5,2,4,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,5,5,5,4,4,3,3,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,4,5,5,4,3,2,4,3,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
5,4,4,5,6,4,2,4,5,12,maagia; lemm; ehmatamine; uskumus; stress; meditsiin
