EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
0,2,3,0,0,3,3,5,4,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
