EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
4,2,2,1,1,0,0,1,2,15,jürgens; kriivan; toomas; rõõm; naissoo; peeter; autasu; tõnu; piret
