EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,0,0,0,2,1,2,0,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,0,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,0,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,1,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,1,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,1,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,0,12,saal; peaminister; akadeemia
1,0,0,0,0,2,1,2,0,12,saal; peaminister; akadeemia
0,0,0,1,0,2,1,3,1,12,saal; peaminister; akadeemia
0,0,0,1,0,1,1,3,1,12,akadeemia; saal; peaminister
0,0,0,1,0,1,1,3,1,12,akadeemia; saal; peaminister
