EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Johann Burkharty;Eesti Ajaloomuuseum;näiteks ajaloomuuseumikogud;Ja suurgildi;loss ootab;kutsuda ajaloomuuseum;Suurgildimaja tegelikult;võib-olla pikemalt
Müncheni Rosen;nimi ajaloomuuseum;muuseumi ekspositsiooni;vanem börsikomitee;See projekt;räägiks muuseumikogud;ajaloomuuseum Vestleme;kontserdiga nii-öelda
Tõnis Lübeck;Tänane ajaloomuuseum;muuseumi ajaloost;viib professionaalsete;asi See;ajaloomuuseumi avalike;Ajaloomuuseum ootab;11000 aasta
põrandas ütleme;ajaloomuuseum Vestleme;muuseumi püsiekspositsioon;Suurgildimaja tegelikult;programme viia;ajaloomuuseumi külastamise;tegelikult suurgildimaja;tegelikkuses enam-vähem
Arnold Rüütel;EAS-i maja;ajaloo muuseumist;vaatasime kultuurkihti;uutidelt Need;muuseumikogud tänapäeval;ajaloomuuseumi suurgildi;võib-olla otse
arhitektuursed omapärad;suurgildi uksed;räägime muuseumi;pealkirigi ütleb;kaart autentne;näiteks ajaloomuuseumikogud;Eesti Ajaloomuuseum;võib-olla olnudki
Tallinna mõjuvõimsam;olnudki keldriruum;uuenenud muuseumist;Ostrideelsest ostudeks;mask hirmutav;päevadest muuseum;räägime muuseumi;baltisakslased 19
konservaatoritele Arnold;suurgildi liikmed;ajaloo Muuseum;Ja pealkirigi;näiteks leidudest;varasematest muuseumisaadetes;ajaloomuuseumi uksest;võib-olla mäletad
ümberehitused võttis;räägib Eestimaaelust;nimi ajaloomuuseum;uhkem suvemõis;ese arvates;muuseumisaadetes rääkinud;Leimus ajaloomuuseumi;enam-vähem sügaval
tähelepanek Tõnis;Johann Burkharty;muuseumi teadusdirektor;Nojah üldiselt;avamine toimuma;Ajaloomuuseum ootab;varasematest muuseumisaadetes;kildis võib-olla
ütleme põrub;Ajaloomuuseum ootab;esemeid muuseumi;täis püsiekspositsiooni;ekspositsioonist On;räägime muuseumi;ajaloomuuseumikogud täienevad;algselt võib-olla
trükkaleion käsitöö;ajaloomuuseum poee;hoone muuseumi;ülesruumidesse õhk;tale uutidelt;Tänane ajaloomuuseum;Eesti ajaloomuuseumi;Jah võib-olla
vanem börsikomitee;suurgildi hoone;varasematest muuseumisaadetes;näitus suurgildi;valida kaasa;muuseumikülastust Mis;muuseumi ajaloost;külastajad võib-olla
sõnamängu mängu;pohmakaga külastajad;tegelikult arheoloogilised;köetakse ajaloomuuseumi;arvan kaks;köetakse ajaloomuuseumi;Tänane ajaloomuuseum;moodustasid nii-öelda
kineetiline kunst;linnaarhiivi tähtsündmus;Tänane ajaloomuuseum;räägime muuseumi;näiteks tahaksite;muuseumi püsiekspositsioon;72021 muuseumikülastust;aastast 1363
Burkharty kogumis;ilmselt suurgildi;ajaloo muuseumil;See kauplemise;võimalusest võimalus;72021 muuseumikülastust;maja muuseumile;võimalik kiire
nomi smaatika;gildi hoone;ajaloomuuseum uksed;vanadest müntidest;asja omada;muuseumisse hiljem;ajaloo muuseumist;õhuküte väga-väga
Tallinna vesi;Eesti ajalugu;ajaloomuuseumi uksest;See kultuuripealine;kujutasime istub;muuseumikülastajale tänapäeval;suurgildimaja kellerdatud;18 sajandil
väikelapse kombinesoon;Tallinn maailmakaardil;avatavas muuseumis;väliseesti päranduse;ekspositsiooni interaktiivset;muuseumi avalike;Küsin muuseumiöö;tööruume nii-öelda
Selles mõttes;Jah 20;ajaloo muuseumis;rännak Euroopat;õieti valida;ajaloomuuseum poee;muuseumisaadetes rääkinud;Me räägime
Sureid lõpetas;jäänud ajaloomuuseumi;ajaloomuuseumi teadur;räägib Eestimaaelust;esemed näiteks;Eesti ajaloomuuseumi;Muuseumiöö hästi;natukene huvitav
ütleme öelda;suurgildi toolid;oluline muuseumikülastajale;süles ruumidesse;installatsioon hulk;Alatalu ajaloomuuseumi;suurgildi hoonest;likööri-viinatehase Tallinna
võlvi läbikäik;köetakse ajaloomuuseumi;muuseumikogud tänapäeval;kontserdipaigana Selles;eeldada leida;ajaloomuuseum nägema;seitsmekümnendatel ajaloomuuseum;rahvast 14
Et mõttes;keskaegne kütt;tegelikult kelder;tegutses gildi;interaktiivset atraktsiooni;jäänud ajaloomuuseumi;Muuseum maja;11 minutit
kõrgaeg ütleme;ajaloo muuseumil;uueks muuseumiks;keldris kerisahi;ekspositsioonis näiteks;muuseum üha;köetakse ajaloomuuseumi;16 sajandi
Lübeck teadusdirektor;suurgildi härrade;muuseumis osa;niiskusrežiimi Nii;võimalus loomulikult;ajaloomuuseumikogud täienevad;päevadest muuseum;nii-öelda juhtimispult
sõltu ütleme;räägiks muuseumikogud;kutsuda ajaloomuuseum;põrandapind tegelikult;toolid ekspositsiooni;ajaloomuuseumi suurgildi;räägiks muuseumikogud;nii-öelda vaikselt
Tallinnaga seotud;atraktsiooni lähiaegadel;muuseumisse hiljem;See kultuuripealinna;ammutada nahku;ajaloo muuseumil;muuseumiöö elaks;Ja võib-olla
valdavalt maarjamäel;suurgildi ajaloo;ajaloomuuseumi külastamise;põhimõtteliselt börsilaadse;avast mees;ajaloomuuseum Vestleme;ajaloo muuseumil;ruum võib-olla
mõttes sümboolne;Nii mängu;Eesti ajaloomuuseumi;kaartidest Nii;visa hing;oluline muuseumikülastajale;suurgildi majas;võib-olla vaataks
näitus koostöös;kirjutab pesukausside;Eesti Ajaloomuuseum;deta liikmeks;mahus ekspositsiooni;Küsin muuseumiöö;muuseumikülastajale tänapäeval;Nii ütles
ekspositsioon hõlmab;suurgildi liikmete;muuseumiks kujundamisel;teada piinamisriistu;näiteks viimane;ajaloo muuseumis;ajaloomuuseum nägema;hästi sarja
Tänane ajaloomuuseum;ajaloo muuseumist;suured muuseumid;nii-öelda lauagildi;toolid näiteks;Leimus ajaloomuuseumi;ajaloo Muuseum;keldriruumides erinevad
mõistetav väärtuslik;suurgildi hoonet;ajaloomuuseumikogud täienevad;uue püsiekspositsiooni;kirjelda sendi;muutunud muuseum;hoone ajaloost;väga-väga tänapäevane
tähtsündmused Eesti;trükkal suurgildi;köetakse ajaloomuuseumi;Nii seitsmeteistkümnendal;mees asi;ajaloomuuseumi uksest;uueks muuseumiks;Siis inimesed
õhk tõusis;ajaloomuuseumi teadur;ajaloomuuseumi avalike;pikemalt räägikski;ütleme väiksemale;Eesti Ajaloomuuseum;suurgildi maja;fondidest EAS-i
ütles veinikelder;ajaloo säilitamise;maja muuseumile;tegelikult 50;võib-olla otse;muuseumid joonid;juhi ajaloomuuseumi;19 sajandil
ökoloogiline tänapäevane;annetustena Siis;keskaegne kelder;suunata börsikäiku;mees kaotas;Ja muuseum;ajaloo muuseumis;koostöönäitused näiteks
gildi ülesanded;Alatalu ajaloomuuseumi;kelder poolkelder;vesi veinitehase;näiteks No;muuseumiöö elaks;muuseumis Ja;See tegelikult
pillerkaar õlut;suurgildi saal;muuseumikülastajale tänapäeval;tegelikult suurgildimaja;detail detaili;provitsiaal muuseumisse;nimi ajaloomuuseum;Nojah üldiselt
tähendab Tallinna;puur kutsuti;Muuseum maja;abielluma kaupmehed;detaile Ja;eraannetused muuseumile;muutunud muuseum;asutamisest 1363
teatud mõttes;Muuseumiöö hästi;ajaloomuuseum Vestleme;põnevale eurovisioonile;uhke mask;muuseumidki alguse;muuseumisse hiljem;näiteks tuua
valdavalt põhjapõdranahast;ajaloomuuseumi Noh;jäänud ajaloomuuseumi;üllatusi jätkub;omada Et;muuseumi ajaloost;näiteks ajaloomuuseumikogud;osas tegelikult
võlvitud üleni;ajaloo Muuseum;näituse ehitamine;piinamisriistu tihtipeale;võimalus inimesi;Alatalu muuseumi;hoone ajaloole;11000 aastat
kaart rännak;keskaegsed majad;muuseumis näidata;algusperiood üldsegi;kagusse uhked;uusajal muuseumi;ajaloomuuseumi Noh;vaadatakse võib-olla
hästi jõua;Ja võib-olla;muuseumi avalike;Küsin muuseumiöö;avatud uusajal;ajaloo muuseumist;ajaloost Tutvustame;mängu nii-öelda
väikegildi saal;tegelikult 1800;ajaloomuuseum nägema;tegelikult sobibki;huvitav installatsioon;muuseumi Tallinn;ajaloomuuseum uksed;14 sajandi
Baltikumis tõenäoliselt;muuseumikülastust Mis;ajaloomuuseum poee;-st seitsmeteistkümnendast;ekspositsiooniosa otseselt;Palju muuseumidki;kutsuda ajaloomuuseum;Kui suur
tähendab mõttes;juhi ajaloomuuseumi;väiksed kunstimuuseumi;vaesed Elamispinnal;ekspositsiooni annetused;ajaloo Muuseum;muuseum majas;käiakse nii-öelda
tööruumid maarjamäel;maarjamäel Tööruumid;ajaloomuuseumi suurgildi;eraldi mäng;vaatamiseks ühesõnaga;sugugi muuseum;muuseumikogud tänapäeval;Tõnis Lübeck
