EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
ran tavern film;andma eesti kirjandusmuuseum;ajalookirjandus esimene maailmasõda;pealkiri sõjaromaan ilmuma;era torm remark;rääkima esimene maailmasõjateemaline;rääkima esimene maailmasõjateemaline;kirjutama esimene maailmasõda;esimene maailmasõjateemaline kirjandus
olu sõda sõda;kaduma kiiresti tonaalsus;seriaal eriti viimane;punkt kell 12;uus realism uus;ajal tegelikult aeg;fermoor kirjutama landeswehr;väike episood 1915;relvarahu puhkema revolutsioon
kirjandusmuuseum sari literaaria;hommikune mets sätendama;ferdinand peatuma esimene;prantsuse kirjanik andrei;keel shell shop;20 sajand euroopa;20 sajand euroopa;maha kuulipilduja lõppkokkuvõte;film valmis 1996
20 sajand euroopa;kemplemine prantslane majaperemees;kauaoodatud sündmus kirjeldama;tunduma parim linateos;tekkima uus realism;realism rääkima eesti;mäletama sedapidi nats;1920 ilmuma järjest;nii-öelda puhtalt ilukirjanduslik
pikali maas larakas;sõna kolm esimene;realism rääkima eesti;12 alustama suurtükivägi;eeldus tulemus näiteks;kirjanik demobiliseerima aasta;kirjutama varem aasta;allveelaevnik maailmasõda ajal;huvitav sissekanne 15
kindlasti huvitav jutt;suhtlema pruut pruut;mõtlema lugema sealhulgas;1919 aasta konkur;kaos element muutuma;1919 märksa melanhoolsem;saade pealkiri aeg;ferdinand kolmas saade;nimelt inimene lihtsalt
sedavõrd suur maailm;mõtlema sõda mõjutama;saade pealkiri aeg;hulk itaalia futuristlik;teos argine detail;interbrigaade puudutama hemingway;jääma maailmakirjandus püsima;kirjandus ilukirjandus ajalookirjandus;võib-olla kommunistlik revolutsioon
paremal vasak mütsuma;ajalugu olulisem sündmus;vastavalt peategelane karjääriredel;võtma eestlane arvukalt;huvitav moment vastavalt;ütlema unustama prantsusmaa;demobiliseerima aasta relvarahu;rennisõda õnn antikvariaat;raamat ülemöödunud saade
ümberringi suur kaos;lõik ernst tünger;jünger maailmakirjandus suurkuju;rei bar püss;tooma absoluutselt tooma;biograafia jääma pooleli;piiriline sõjaruum taani;kirjanik demobiliseerima aasta;võib-olla mahukas oluline
film valmis 1996;absurt esile tooma;prantsuse kirjanik torselless;poliitiline mõju renn;andma 76 rügement;algama saatesari tapma;jätkuma murdmine ajaloolane;raamat ebahuvitav venemaa;tõusude-langus oluline oluline
ajalugu teema käsitlev;ilmuma loodus kroonine;potentsiaalne vene vaade;küla 1900 seitsmeteistkümnes;andma mees rinne;lõpetama elupäev ida;küsima relvavend kirjutama;puudutama hemingway hiljem;aru võib-olla raamat
lutsu päevik aasta;oluline sõda esimene;ütlema puhkema 1914;suurtükivägi kana naad;kaasa kontrast test;lõpp uhke haavama;ehedam raamat 1928;läänerinne muutus tekst;nii-öelda ravi inimene
sedapidi nats põgenema;sõjakogemus tooma kaasa;puhkepäev puuduma oht;loomulikult 1981 aasta;viimane osa tegevus;saksi aristokraat lõpetama;elupäev ida ida-berliin;kuuekümnes linn kirjeldama;nimetama mõtlema huvitav
tõusude-langus oluline oluline;hästi ütlema toimustilistiline;relvavend unustama hiljem;sõim jalg pers;tund hetk organism;suur maailm inimene;leeseparss lahing toimuma;kõikvõimalik kirjanduslik žürii;kaasa kaks tekst
võitlema pealetungiv bolševik;alustama suurtükivägi kana;tavaline väike elu;rusuv tekkima diagnoos;autor edward thomas;aasta relvarahu puhkema;sõda jätkama ohvitser;nägema saksavastane film;-le aasta surema
kaks aumärk sõjamedal;andma vaimukultuur kutsuma;saksavastane film keelama;jaroslav hašek kinkima;inglise keel shell;läänerinne muutus romaan;diplomaat kool asedirektor;pärit wolfgang petersen;koht ilmselt võimalik
kool asedirektor vahur;järgnevalt tsiteerima härra;eesti kirjandusmuuseum sari;1932 ilmuma loodus;mainima käima hannover;diplomaat kool asedirektor;ainuke kirjanik esimene;õigesti mäletama sõjapatrull;kirjutama landeswehr päev
tohtima loeksima lõik;viitama väga-väga eriline;nägema sadama metall;läänerinne muutus tekst;andma vägev haarav;voa ilmuma aasta;remark romaan prantsuse;stalin biograafia jääma;jaanuar 1918 väli
järsku oluline taas;õigesti mäletama sedapidi;stiil lennus maandumine;film voot rääkima;lugema huvitav moment;kindlasti oluline näidend;stalin kirjutama kaks;ajalugu olulisem sündmus;linn kirjeldama esimene
lynn stiil lennus;äkki tõsi autor;20 sajand euroopa;võib-olla näitama 1919;shell shop tõlkima;ida-saksamaa linnapea näide;haavatu sõda neuroos;realism uus asjalik;mõtlema huvitav põhjus
mahukas oluline teema;teos konkur preemia;idarinne võimalik raamat;bar püstol 41;asedirektor vahur made;seriaal eriti viimane;härra kolonel võib-olla;neli teos põhjus;romaan romaan kirjanduslik
härra kolonel võib-olla;võtma kaasa kaks;ida-saksamaa linnapea näide;teos argine detail;mets nulu tehnik;maria remark loomulikult;romaan samamoodi edukas;ajakiri joonealus ajakiri;ida-berliin õigesti mäletama
rahulik emantsipatsioon ase;maha kuulipilduja lõppkokkuvõte;tegu loomulikult 1981;kaasa kaks tekst;läänerinne muutus tekst;sündmus kinnitama tõsiasi;liikuma pikirida surm;romaan kirjanduslik tase;ludwig rennisõda õnn
oks muld kartlikum;saksa austria pressimistlik;raadio kuulaja võimalik;teeniv oskar luts;mõte andma uus;avanema lugeja järjest;kaks kuulus sõjaromaan;vill pommitama sõna;langema kirjeldama praetama
