EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Nets Estonia;Joachim Gauck;koostöökeskus Petseri;Pärdi autorikontsert;argument variandi;Kalevi staadionil;rahvusstaadioniks Tallinna;Tallinna Sadamale;Kesk-Euroopast liigub
Heritage business;võeti Berliini;Spordiselts Kalev;See riigivisiit;vastavalt argument;Kalevikesksust staadion;Eesti rahvusstaadioniks;Nüüd välisuudiste;sirutub Kesk-Euroopast
Dwight Howard;president Gauck;Eesti-Läti-Vene koostööprojektile;e-kaubandusse Eile;algatati detailplaneering;rahvusstaadioniks Tallinna;Rebane Eestis;parvlaevad Tallinna;investeerivad e-kaubandusse
Joachim Gauck;planeerib käibekasvu;Tänavati Petseris;ühisgümnaasiumis äkkrünnaku;regulaarselt andma;Kalevi staadioni;Eesti Kaubandus-Tööstuskoja;raadiouudistele Mirjam;Kesk-Euroopast Baltimaade
kodus Houston;Mercedese mootoreid;Kalevi staadionil;stsenaariumi Koolimaja;ringilt vastab;Eesti rahvusstaadioniks;Kalevi staadionil;raadiouudistele Johannes;suuda IT-insenerid
võitis Warriors;Eestis jaekaubanduse;lootused Petseri;spordiuudised võtab;business teisalt;täna Tallinnas;tiheneb Eestis;rahvusstaadioniks Tallinna;võib-olla tahab
ülekoormus päringud;Aas Kui;Nets Estonia;2012 krooniti;tegelema vastavalt;teisipäeval Tallinna;Kalevi staadioni;uudis Eestis;e-kaubanduse võimalusi
Yorgis ütles;Suuri ühisõppusi;Kalevikesksust staadion;eesti turul;tekitades publiku;Tallinnas mängitava;Ja Eestisse;raadiouudistele Juhan;päevakorras EXPO-le
töötab circa;presidendi Joachim;spordi kultuurifunktsiooni;Saksamaal riigivisiit;test jätku;sõlminud Tallinna;uudis Eestis;Tallinna Sadama;õhtust Kesk-Euroopast
äkkrünnaku õppuse;Pärdi autoriõhtu;koostööks Eestis;maailmameistri Lewis;operaator leitakse;Tallinna linnaga;Eestis Lätis;Rahvusringhäälingu raadiouudistele;kolmapäeva 20
kultuurisündmus ütles;Iidee monitooring;Eesti Kaubandus-Tööstuskoja;häält Spordiseltsi;sadam pakub;tähtaega Tallinna;teisipäeval Tallinna;EXPO-le Tallinna;kell 19
Benjamin Netanyahu;Tallinna Sadama;Hiiumaal Kärdla;Nüüd välisuudiste;eraldi arutamise;Tallinna linnavalitsus;korraldada Eestit;Kalev loodab;punkti 11
Joachim Gaucki;jagamaks nõuandeid;õhtust Kesk-Euroopast;Eestit serveritele;teada President;korraldada Eestit;ehitada Eesti;teatas täna;leida inimestele
Almaseni sõnul;Jaekaubanduses kasvasid;harjutus Saaremaal;Lääne-Eestist pilvisus;tekib ülekoormus;kiiresti Eestimaa;jätkab Eesti;Kärdla Täna;toimub uuendatud
Houston Rocketsi;Sõna äriinkubaator;Petseri rajooni;eksperte veenduda;number 19743;kammerkoor Tallinna;võimaluste eesti;Hiiumaa esimene;11 võistleja
Sõna äriinkubaator;korraldab politsei;Kalev loodab;Iisraelis töötavatel;saabumist tekitades;EXPO-le Tallinna;viibima eesti;lugu Täna;vaimustunud ütles
vähemasti mäng;vastavatud ettevõtlus-;loodab sporttantsu;tegelikult vestlesime;käituma operaator;hilissuvel Tallinna;Eestisse Tallinna;Tartus Tänane;Eesti Kaubandus-Tööstuskoja
Mirjam Nutov;Kärdla ühisgümnaasiumi;Eesti korvpalli;serveritele pääse;vastab vastab;lähemalt Tallinna;Eestis keskmiselt;Eesti rahvusstaadioniks;küsitletutest 10
