EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,6,7,4,7,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,7,7,5,7,4,7,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,7,7,5,7,6,7,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,7,7,5,7,6,7,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,6,6,5,7,7,6,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,6,7,5,7,7,7,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,6,7,6,7,7,7,7,0,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
7,6,7,6,7,7,7,6,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,7,7,7,7,7,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,7,7,7,7,7,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,7,7,7,7,7,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
