EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,4,2,3,0,4,1,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,4,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
3,2,2,2,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
1,2,2,1,2,3,0,4,0,10,koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,2,2,2,2,4,0,4,0,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
