EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
3,4,4,1,1,2,2,1,2,11,laine; elektron; marek; telekas; signaal; strandberg
