EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
2,1,2,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
2,1,2,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
2,1,2,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
2,1,2,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
2,1,2,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
2,1,3,1,2,1,1,2,2,12,andmed; kuhjumine; liit; internet; euroopa
1,1,2,1,2,1,2,2,2,12,andmed; kuhjumine; liit; internet; euroopa
1,0,1,1,2,2,2,2,2,12,andmed; kuhjumine; liit; internet
1,0,1,1,2,2,1,3,2,12,andmed; kuhjumine; liit; internet
3,0,1,2,2,2,2,3,2,12,andmed; kuhjumine; liit; internet; euroopa
