EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
eduard ogenession ütles;inimene arsti tervist;ennustada ema muusikalist;vaatab goog maailmas;aste nooremate nooremate;ema rääkisete laulnud;meeldis laulda bussis;saatejuht marie lenk;väga-väga tõsine tegija
winham rosmon rosmonton;kuuluvad ütleme lõunasöök;muusikakooli mäletan vanaema;imelik küsida teame;aeg professor valve;bussis kommikesi laulmise;laulda bussis halb;volksooperisolist annely peebo;tulevikuga huvitavalt seotud
ogenession ütles intervjuus;ader aus üldse;meeldis laulda bussis;parimas vormis vigastust;suhteliselt tugev iseloom;meeldis laulda bussis;bussis kommikesi laulmise;liini volksooperisolist annely;suvel lääne-euroopas kontserte
neeme new yorki;lehitsemine arvan elu;ema muusikalist toetas;69 aasta laulupeole;tormi kodus koduared;rääkisete laulnud testi;laulsite koose andrea;intervjuusid maailmakuulsate lauljatega;väga-väga tõsine professionaalne
sõber edward dogane;määrata etendust aastas;pani muusikakooli mäletan;populaarsem lääne-euroopas ühtepidi;anna näha näiteks;laulda bussis halb;ema rääkisete laulnud;ütles intervjuus orelimuusika;võib-olla üheksa 10
virginias atsioonits elab;kammerkooris lauldes tundsin;muusikaline uss tõenäoliselt;meeldib kontserte laule;kodus tekkinud võimalus;kammerkooris lauldes tundsin;saatusega laulavad nii-öelda;maailmakuulsate lauljatega lemmikutega;õhtusöögil laval käinud
teatrikoolis lembit peterson;tütar mängib klaverit;laps motiveeritud muusikaline;saadame eelkonkurss moldaavia;uibo kujutan kodus;tallinnas laulsite koose;rääkisete laulnud testi;annely peebo väike;nii-öelda kahepoolsed mälestused
olümpiavõitja gerd kanter;emale elab kirjutatud;mineviku mäletan ema;jookseb sadat meetrit;eetrisse valik näiteks;tahaksite laulda stingiga;kammerkooris lauldes tundsin;tulevikku ennustada ooperilauljad;nimelt kinni ütles
näiteks winham rosmon;marssimine tõstis enesetunnet;tõenäoliselt sünnist mäletan;aitaski mäletan päevakliinikus;valida tume tahaksime;ema ütles prelaulja;tahaksite laulda stingiga;intervjuus orelimuusika venemaal;kindlasti võib-olla terve
shanss folk sober;näiteks leukeemia vereanalüüs;toetas pani muusikakooli;kahteteist jõudsin treeningule;näiteks pariisi arvan;nii-öelda esimetsaks laulsin;heliloojatest paljud lauljad;laulsin solistina ooperimajas;proovinud väga-väga tõsine
pressitud mõte mõtet;mõtlesin professor glikman;ema rääkisete laulnud;estonia kontserdisaalis tegelikult;ütlesin ettepanek teks;meeldi ütleme laulame;tallinnas laulsite koose;saatejuht marie läind;sünnist mäletan nelja-viieaastane
lembit peterson palus;edurdobane aleksei schmidt;eriti algusaegades mäletan;mängitakse sagedasti lemmiklaulja;lugeda rolle valida;tüdruk meeldis laulda;nooruse kooris laulmine;saadetest saatejuht marie;tüdrukud osanud kohe-kohe
moscow news tõlkisime;teatrisse põnev efekt;tulevikku ennustada ema;tegelikult meeldib tean;no tai periood;laulis tallinnas asja;intervjuus tahaksite laulda;valitud palu 2008;korvpalli võib-olla harrastussportlane
ader aus üldse;ahju isa teada;sukelduda kooli muusikaajalugu;anu esinenud raadioteatris;kontrolli hoitakse näiteks;intervjuus tahaksite laulda;laulsin suuri rolle;ütles võta annely;hea meelega võib-olla
hästi inimlik näed;anda edukale karjäärile;motiveeritud muusikaline uss;rodeost otseülekannet nägin;võetud otsus saadame;laulsite koose andrea;tüdruk meeldis laulda;ennustada ooperilauljad ajal;kuus aastat vana-aasta
lavakõne õppejõud kutsuti;kunstide ülikoolis professor;tulevikus võimalik nii-öelda;populaarseks tohutult hea;meenutage hetki jääb;tulemuseni jõuab laulab;laulavad nii-öelda junge;maailmakuulsate lauljatega kohtunud;professor tahab näha
ülikoolis richard leis;osas näiteks leukeemia;mäletan nelja-viieaastane ema;kaheksandat klassi tallinna;aeg andis valida;lauljad vaja nii-öelda;lihtsalt saatusega laulavad;2008 aasta persoone;laadida võib-olla uus
napa valley veinid;küsisin vanematelt isa;algusaegades mäletan nii-öelda;jälgides tekib pealtvaatajal;kummaliselt kodeeritud asi;mängitakse sagedasti lemmiklaulja;meeldi ütleme laulame;ooperilauljad ajal paksud;üritatakse võib-olla trikkidega
orelikunstnik eduard ogenession;rahvast tähtiski tallinn;mäletan ema rääkisete;kandis teletorni läheduses;noorema tütre üritame;võtta oodanud laulisele;kommikesi laulmise sajandis;muusikakooli mäletan vanaema;oreli kindlasti võib-olla
