EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,1,0,0,2,1,0,2,12,erakond; kirik; poliitika; urmas
2,1,1,0,0,2,1,0,2,12,erakond; kirik; poliitika; urmas
2,1,1,0,0,2,1,0,2,12,erakond; kirik; poliitika; urmas
2,1,1,0,0,2,1,0,2,12,erakond; kirik; poliitika; urmas
2,1,1,0,0,2,1,0,2,12,erakond; kirik; poliitika; urmas
2,1,1,0,0,2,1,0,2,12,erakond; kirik; poliitika; urmas
0,1,1,0,0,2,1,1,2,12,erakond; kirik; poliitika
2,1,1,0,0,2,1,2,2,12,erakond; kirik; poliitika; viilm; urmas
1,1,1,2,1,2,1,2,2,12,erakond; kirik; poliitika; viilm; urmas; probleem; meelis
0,3,1,3,1,2,1,1,2,12,erakond; kirik; poliitika; urmas; probleem; meelis
1,3,1,0,1,2,1,2,1,12,erakond; kirik; poliitika; urmas; probleem; riik
