EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
7,6,5,5,4,3,4,4,4,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
