EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,2,2,3,3,2,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
3,2,1,2,2,3,3,2,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
3,2,1,2,2,3,3,2,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
3,2,1,2,2,3,3,2,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
3,2,1,2,2,3,3,2,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
3,2,1,2,2,3,3,2,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,2,1,2,2,3,3,3,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,4,2,3,2,3,3,3,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,4,1,5,2,3,2,3,5,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,4,3,5,2,4,2,3,6,12,ehmatamine; sümptom; uskumus; reet; meditsiin; häire
4,5,1,5,3,4,3,3,6,12,ehmatamine; sümptom; uskumus; reet; meditsiin; häire
