EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,6,3,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,5,6,3,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,5,6,3,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,5,6,3,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,5,6,3,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,5,6,3,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
7,5,6,4,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
7,5,6,4,4,7,6,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
7,5,5,5,4,8,7,8,6,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
6,5,7,5,4,8,7,8,6,12,hämarik; lill; lind; robert; taevas; faehlmann; päike; friedrich; koit; huul
6,5,7,5,5,8,8,8,6,12,hämarik; lill; lind; robert; taevas; faehlmann; päike; friedrich; koit; huul
