EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,7,8,8,7,7,11,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,10,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,10,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,11,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,11,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,10,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,10,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,10,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,11,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,11,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
6,9,7,8,8,7,7,10,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; raamat; kiri
