EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,5,5,3,5,3,3,5,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
