EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
3,1,2,0,1,2,2,2,0,11,süsteem; jõulud; jõulurõõmud
4,1,2,1,1,2,2,2,0,11,vaba; süsteem; jõulud; jõulurõõmud
4,1,2,1,1,2,2,2,0,11,vaba; süsteem; jõulud; jõulurõõmud
