EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,1,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,1,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,1,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,1,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,1,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,3,2,0,3,2,2,0,10,muusika; kuuba; ladina-ameerika; gloria
1,0,2,2,0,2,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,2,1,0,2,3,3,0,10,kuuba; ladina-ameerika; gloria
1,0,1,2,0,2,2,2,0,10,kuuba; ladina-ameerika; gloria
1,0,1,2,0,2,1,0,1,10,gloria; kuuba
