EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,5,2,2,4,1,3,4,12,facebook; kristjan; trahv; port; karistus; euroopa
2,5,5,2,2,4,2,3,4,12,facebook; kristjan; trahv; port; karistus; euroopa
1,5,5,2,3,4,2,3,4,12,facebook; kristjan; trahv; port; karistus; euroopa
1,5,5,1,3,3,2,3,4,12,facebook; kristjan; trahv; port; karistus; euroopa
1,5,4,2,3,3,2,3,4,12,facebook; kristjan; trahv; port; karistus; euroopa
1,6,5,2,3,3,2,5,4,12,facebook; kristjan; trahv; port; karistus; euroopa
1,5,3,4,4,3,3,3,4,12,facebook; kristjan; trahv; port; karistus; euroopa
1,4,3,6,5,4,3,4,4,12,facebook; kristjan; trahv; port; karistus; euroopa
3,5,3,6,5,4,3,4,2,12,facebook; kristjan; trahv; port; karistus; euroopa
2,4,2,6,6,4,3,3,3,12,facebook; kristjan; trahv; port; karistus; euroopa
1,4,2,6,6,4,3,2,3,12,facebook; kristjan; trahv; port; karistus; euroopa
