EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,1,3,2,3,2,2,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
4,4,1,3,2,3,2,2,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
4,4,1,3,2,3,2,2,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
4,4,1,3,2,3,2,2,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
4,4,2,3,2,3,2,3,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
3,4,1,3,2,4,2,3,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
3,4,1,2,2,4,1,3,1,11,uno; polder; maaparandaja; veehoidla; pauts; ekskavaator
3,3,2,4,2,4,3,4,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
3,4,2,2,3,3,2,3,1,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
1,2,3,1,3,4,2,3,2,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
1,2,3,1,4,4,2,3,2,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
