EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
3,4,1,3,3,3,3,2,1,10,aamen; palve; jumal; inimlaps
