EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
8,5,5,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
8,5,5,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
8,5,5,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
8,5,5,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
8,5,5,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
8,5,6,2,5,3,4,5,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
8,5,7,3,5,3,4,4,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
8,5,7,3,5,4,4,6,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
9,4,7,4,4,4,4,6,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
8,6,7,5,5,4,6,6,7,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
