EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,6,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,6,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,6,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,6,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,6,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,5,2,3,1,4,4,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
8,4,2,3,1,4,6,3,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
7,4,2,3,2,4,6,4,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,2,3,4,5,6,4,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,2,2,3,4,5,6,4,5,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
