EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,3,2,2,4,3,3,3,14,muuseum; haari; rothschild; torn; tehaari; paruness; loss
3,5,3,2,2,4,3,3,3,14,muuseum; haari; rothschild; torn; tehaari; paruness; loss
3,5,3,2,2,4,3,3,3,14,muuseum; haari; rothschild; torn; tehaari; paruness; loss
3,5,3,2,2,4,3,3,3,14,muuseum; haari; rothschild; torn; tehaari; paruness; loss
3,5,3,2,2,4,3,3,3,14,muuseum; haari; rothschild; torn; tehaari; paruness; loss
3,4,3,2,2,4,2,5,3,14,muuseum; haari; rothschild; torn; stiil; tehaari; paruness; loss; uusgooti
3,2,4,3,2,4,3,6,3,14,muuseum; haari; rothschild; torn; stiil; tehaari; paruness; loss; uusgooti
5,4,4,2,2,4,4,6,3,14,muuseum; haari; rothschild; torn; stiil; tehaari; paruness; loss; uusgooti
2,2,4,2,2,4,3,4,3,14,muuseum; haari; rothschild; torn; stiil; tehaari; paruness; loss; uusgooti
2,5,3,2,2,4,4,3,3,14,muuseum; haari; torn; rothschild; stiil; tehaari; paruness; loss; uusgooti
1,4,1,3,2,5,3,2,2,14,muuseum; haari; torn; stiil; tehaari; paruness; loss; uusgooti
