EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,5,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,5,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,5,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,5,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
12,6,8,10,6,11,11,6,3,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
