EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,4,0,4,5,7,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; mõistatus; tõlgendus; luulealbum; lillekimp
5,4,4,4,0,4,5,7,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; mõistatus; tõlgendus; luulealbum; lillekimp
5,4,4,4,0,4,5,7,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; mõistatus; tõlgendus; luulealbum; lillekimp
5,4,4,4,0,4,5,7,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; mõistatus; tõlgendus; luulealbum; lillekimp
5,4,4,4,0,4,5,7,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; mõistatus; tõlgendus; luulealbum; lillekimp
4,3,4,4,0,4,5,8,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; mõistatus; tõlgendus; luulealbum; lillekimp
3,3,5,4,1,5,5,6,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; tõlgendus; luulealbum; lillekimp
3,3,3,3,1,4,6,7,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; luulealbum; lillekimp
3,3,1,3,2,3,5,4,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; tõlgendus; luulealbum; lillekimp
4,3,2,3,2,4,5,4,1,12,luuletaja; eesti; luule; antoloogia; tõlgendus; luulealbum; lillekimp
4,3,3,3,3,2,3,5,1,12,rahvaluule; luuletaja; eesti; luule; antoloogia; luulealbum; lillekimp
