EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
5,5,3,3,4,4,4,5,5,12,jumala; vabaks; ori; isa; sõna; kannatlikkus
