EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
5,5,6,6,6,2,2,6,7,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,5,7,6,6,2,2,7,7,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,5,7,6,6,3,2,7,7,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,5,8,6,6,2,2,8,6,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,6,7,6,6,2,2,8,6,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
