EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,10,6,6,9,9,9,8,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
7,9,10,6,6,9,9,9,8,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
7,9,10,6,6,9,9,10,9,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
7,9,10,7,7,10,9,10,9,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
7,9,10,8,7,10,9,10,9,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
8,9,10,8,8,10,9,10,8,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
9,9,10,8,8,10,8,10,9,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
9,9,10,10,8,10,8,9,10,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
10,9,10,10,7,10,9,10,9,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
10,9,10,8,8,10,10,9,10,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
10,8,10,8,8,9,10,9,10,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
