EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,4,6,5,4,3,5,5,12,arheoloog; inimloomus; nappus; ressurss; rahvaarv; tasakaal; ühiskond; nälg; sõda; ellujäämine; konkurents; ökoloogiline
6,8,5,6,5,5,3,5,5,12,arheoloog; inimloomus; nappus; ressurss; rahvaarv; tasakaal; nälg; sõda; ühiskond; ellujäämine; konkurents; ökoloogiline
7,8,6,6,5,5,3,5,5,12,arheoloog; inimloomus; nappus; ressurss; rahvaarv; tasakaal; nälg; sõda; ühiskond; ellujäämine; konkurents; ökoloogiline
7,8,7,6,5,5,5,5,5,12,arheoloog; inimloomus; nappus; ressurss; rahvaarv; tasakaal; nälg; sõda; ühiskond; ellujäämine; konkurents; ökoloogiline
8,8,6,8,5,6,7,7,5,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
10,6,6,6,6,6,6,8,5,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
10,6,8,6,5,8,7,10,6,12,arheoloog; nappus; inimloomus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
10,6,9,7,4,11,7,9,4,12,arheoloog; nappus; inimloomus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
10,7,9,7,5,10,8,8,5,12,arheoloog; nappus; inimloomus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
8,8,7,7,6,9,9,9,3,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
7,9,7,8,7,8,8,9,3,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
