EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,10,11,8,8,9,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,10,10,11,11,8,10,9,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,10,9,11,11,8,10,9,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,10,11,11,10,8,10,9,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,10,11,11,10,8,10,9,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,10,11,11,9,9,11,11,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,11,12,11,8,8,12,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,11,12,11,8,8,12,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
10,11,11,10,8,9,12,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,11,11,10,9,9,12,12,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,11,12,10,9,10,11,12,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
