EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,10,10,10,9,7,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
9,10,10,10,10,9,7,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
9,10,10,10,10,9,8,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
9,10,10,9,10,10,9,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,9,10,10,9,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,9,10,10,10,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,9,10,10,10,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,10,10,10,10,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,9,10,10,10,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,10,10,10,10,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
10,10,10,10,10,10,10,10,9,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
