EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,8,4,5,4,9,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
5,6,6,8,4,5,4,9,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
5,6,8,8,4,5,4,9,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
5,6,8,9,5,4,3,9,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
5,7,8,9,5,5,5,10,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
7,7,9,8,5,6,6,9,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
6,6,8,8,6,6,7,10,8,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
8,7,7,8,5,6,9,7,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
6,8,7,6,6,7,10,5,7,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
7,8,9,6,6,8,7,6,8,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
7,7,8,7,7,8,7,6,9,14,tuumarelv; harry; välisminister; liivrand; aktsia; mall; koalitsioon; mälberg; hansapanga; juhan
