EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,6,6,5,3,4,5,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,7,5,6,5,6,4,5,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,7,7,6,5,6,5,6,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,6,7,6,5,5,5,7,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,6,7,6,5,8,5,9,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,5,8,6,4,8,7,7,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
6,5,8,7,4,4,7,6,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
3,5,8,7,5,4,7,8,5,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,3,9,7,6,5,5,5,5,16,hindpere; karjatse; tõnu; üro; hans; nädal; restoranide; julgeolekunõukogu; ukraina
5,6,7,7,5,5,7,3,4,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
5,5,6,7,4,5,7,4,5,16,hans; nädal; restoranide; hindpere; karjatse; tõnu; julgeolekunõukogu; ukraina; üro
