EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,6,3,5,5,5,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
5,4,5,6,3,5,5,5,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
5,4,5,6,3,5,5,5,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
5,4,5,6,3,5,4,5,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
6,4,5,6,3,5,4,5,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
7,4,4,6,4,7,7,6,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
6,5,6,5,3,8,7,5,4,12,erakond; kirik; probleem; viilma; riik; süld; urmas; meelis
6,7,8,5,4,7,7,7,4,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
6,7,7,6,7,7,7,6,5,12,erakond; kirik; probleem; riik; süld; urmas; viilma; meelis
5,7,7,5,7,8,6,6,5,12,erakond; kirik; viilma; probleem; riik; süld; urmas; meelis
5,7,7,5,7,6,6,4,5,12,erakond; kirik; viilma; probleem; riik; süld; urmas; meelis
