EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,6,7,7,8,7,7,7,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
9,8,6,7,7,8,7,8,7,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
9,8,8,7,7,9,7,8,8,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
8,8,8,7,8,9,7,8,8,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
9,8,9,8,8,8,6,8,8,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
9,8,9,8,8,8,6,8,8,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
9,7,8,8,8,8,6,7,8,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
8,8,9,9,8,8,6,9,8,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
7,7,9,9,8,8,7,9,8,11,külaline; meeleliigutus; eesti; austraalia; maastik; ludwig; asundus; kanakasvataja; hoolitsemine
6,8,8,8,8,6,7,9,7,11,külaline; meeleliigutus; eesti; austraalia; maastik; ludwig; asundus; kanakasvataja; hoolitsemine
7,8,9,8,8,8,7,9,7,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
