EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,7,6,5,7,5,4,6,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
12,7,6,6,9,5,5,6,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
12,7,7,7,9,5,6,7,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
12,6,9,7,9,4,8,7,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
10,7,8,7,11,4,7,7,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
10,6,9,7,9,5,8,6,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
6,6,8,8,10,7,7,7,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
4,4,10,9,9,8,9,6,5,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
3,2,9,6,8,8,9,8,7,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
3,3,9,5,11,8,6,7,6,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
5,4,8,5,8,5,9,9,7,14,arvo; gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; pedagoogitöö; kammerorkester; kriisimoment
