EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,7,11,7,7,5,11,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
10,10,6,11,7,7,5,11,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
11,9,7,11,7,7,5,11,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
11,9,7,11,7,7,5,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
10,9,8,11,8,9,7,9,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
10,9,8,11,7,9,8,10,5,15,turniir; paul; hendrik; maletaja; olde; keres; klubi; eesti; partii; kilingi-nõmme; malering; võistkond
7,9,9,9,7,11,8,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
6,10,9,5,7,10,8,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; eesti; partii; kilingi-nõmme; keres; võistkond
5,7,10,6,7,10,8,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; eesti; partii; kilingi-nõmme; keres; võistkond
4,7,9,6,8,8,7,9,4,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
4,5,9,5,6,8,9,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; eesti; partii; kilingi-nõmme; keres; võistkond
