EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,6,6,6,7,6,7,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
8,6,6,6,6,7,6,7,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
8,7,6,6,6,6,6,7,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
8,7,7,6,8,6,7,7,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
9,6,8,6,8,6,6,11,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
9,6,8,9,8,6,8,10,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
8,4,9,8,9,9,10,9,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
7,6,8,7,10,8,11,10,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
6,5,7,6,10,8,11,10,6,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
7,7,9,7,11,7,11,8,7,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
7,5,7,7,9,8,11,7,8,15,keränen; johannes; laen; keel; õppimine; taristu; keele; tuletis; eesti; soome; mika; aavik; võimatu
