EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,3,10,11,10,10,11,7,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,5,10,11,10,10,11,9,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,7,10,11,10,10,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,8,10,11,10,10,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,10,10,11,10,10,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
10,11,10,10,11,10,10,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,10,10,11,10,11,10,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,10,11,11,11,11,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,11,11,11,11,11,11,11,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,11,11,11,11,11,11,11,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,11,11,11,11,11,11,11,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
