EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,1,3,3,5,4,6,6,13,poola; jüri; andrus; adams; graafika; ansip; president
3,3,3,3,3,5,4,6,6,13,poola; jüri; andrus; adams; graafika; ansip; president
3,3,4,5,3,5,4,6,6,13,poola; jüri; andrus; adams; graafika; ansip; president
4,3,4,6,3,5,4,6,6,13,poola; jüri; andrus; adams; graafika; ansip; president
5,4,4,6,4,6,4,6,6,13,poola; jüri; andrus; adams; graafika; ansip; president
6,5,5,7,5,6,6,6,5,13,poola; jüri; andrus; adams; graafika; ansip; president
6,5,5,7,5,7,5,6,5,13,poola; jüri; andrus; adams; graafika; ansip; president
5,5,6,5,6,6,6,5,4,13,poola; jüri; andrus; adams; graafika; ansip; president
4,6,4,5,7,6,6,6,5,13,poola; jüri; andrus; adams; graafika; ansip; president
4,7,6,5,7,5,7,7,5,13,poola; jüri; andrus; adams; graafika; ansip; president
4,7,5,4,6,5,7,6,5,13,poola; jüri; andrus; adams; graafika; ansip; president
