EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,6,7,8,6,8,5,15,stalin; komandör; kosmodemjanskaja; film; nõukogude; zoja; tuhkatriinu; kangelane; naiskangelanna; armukolmnurk; varvara
9,7,6,6,8,8,6,8,5,15,stalin; komandör; kosmodemjanskaja; film; nõukogude; zoja; tuhkatriinu; kangelane; naiskangelanna; armukolmnurk; varvara
9,8,6,6,8,8,6,8,5,15,stalin; komandör; kosmodemjanskaja; film; nõukogude; zoja; tuhkatriinu; kangelane; naiskangelanna; armukolmnurk; varvara
9,9,6,6,9,8,7,9,5,15,stalin; komandör; kosmodemjanskaja; film; nõukogude; zoja; tuhkatriinu; kangelane; naiskangelanna; armukolmnurk; varvara
9,6,8,6,9,8,7,8,5,15,stalin; komandör; kosmodemjanskaja; film; nõukogude; zoja; tuhkatriinu; kangelane; naiskangelanna; armukolmnurk; varvara
5,6,8,6,9,8,8,9,5,15,stalin; komandör; tuhkatriinu; film; nõukogude; kangelane; kosmodemjanskaja; zoja; naiskangelanna; armukolmnurk; varvara
5,7,9,6,9,8,7,6,7,15,stalin; komandör; tuhkatriinu; film; nõukogude; kangelane; zoja; kosmodemjanskaja; naiskangelanna; armukolmnurk; varvara
4,9,9,9,9,6,7,8,5,15,stalin; komandör; tuhkatriinu; film; nõukogude; kangelane; zoja; kosmodemjanskaja; naiskangelanna; armukolmnurk; varvara
3,8,9,9,9,6,6,7,5,15,stalin; komandör; tuhkatriinu; film; nõukogude; kangelane; zoja; kosmodemjanskaja; naiskangelanna; armukolmnurk; varvara
4,6,7,9,9,6,8,8,6,15,stalin; komandör; tuhkatriinu; film; nõukogude; kangelane; kosmodemjanskaja; zoja; naiskangelanna; armukolmnurk; varvara
4,6,9,9,9,8,8,8,8,15,stalin; komandör; tuhkatriinu; film; nõukogude; kangelane; kosmodemjanskaja; zoja; naiskangelanna; armukolmnurk; varvara
