EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,4,3,6,3,4,3,2,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
6,4,6,3,6,4,4,4,2,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
6,2,6,3,6,4,4,4,2,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
6,3,5,3,6,5,4,4,2,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
8,2,6,2,6,5,4,4,2,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
7,2,7,2,7,5,4,6,2,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
7,2,6,1,6,4,5,6,2,16,sisemine; rituaal; laps; medell; sirje; saaremaa; kaklema; varietee; armastus; ballaad
5,2,7,2,6,6,5,8,2,16,sisemine; rituaal; laps; medell; sirje; saaremaa; kaklema; varietee; armastus; ballaad
4,3,4,4,3,5,4,6,4,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
1,3,6,6,4,6,3,4,4,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
2,4,6,6,4,7,5,6,6,16,sisemine; rituaal; laps; medell; sirje; kaklema; saaremaa; varietee; armastus; ballaad
