EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,11,9,5,10,9,8,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
10,10,11,9,5,10,10,9,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
11,10,9,9,5,10,10,9,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
11,11,12,10,5,10,10,9,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
12,11,12,10,6,10,10,11,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
12,11,13,10,7,13,10,13,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
11,11,13,11,8,9,12,14,9,16,pianiino; maret; tiibklaver; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
12,10,13,8,7,10,9,12,10,16,pianiino; tiibklaver; maret; alo; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
9,9,13,7,9,11,7,10,9,16,pianiino; tiibklaver; maret; alo; tomson; klaver; tsentraliseerimine; eesti; teatri-; klaverimeister; muusikamuuseum; estonia; klaveriehitus; põldmäe
7,11,9,6,9,6,6,10,10,16,pianiino; tiibklaver; maret; alo; tomson; klaver; tsentraliseerimine; eesti; teatri-; klaverimeister; muusikamuuseum; estonia; klaveriehitus; põldmäe
5,12,10,5,9,6,6,10,8,16,pianiino; tiibklaver; maret; alo; tomson; klaver; tsentraliseerimine; eesti; teatri-; klaverimeister; muusikamuuseum; estonia; klaveriehitus; põldmäe
