EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,5,3,8,8,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
7,6,6,5,2,8,8,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
7,6,5,6,2,8,8,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
8,6,6,6,3,8,8,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
8,6,6,6,3,8,8,7,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
7,6,8,7,3,8,8,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
5,7,8,7,7,8,6,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
5,7,8,8,7,8,8,8,3,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
5,7,8,8,7,8,6,8,5,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
4,7,8,8,8,6,5,7,7,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
4,6,8,8,8,6,6,8,7,14,peeter; urmas; keiu; vadi; virro; võõras; lavastaja; rästas
