EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,4,4,4,5,5,5,3,13,keskkond; vaimuinimene; kilumets; margit; haapsalu; poliitiline; vaim; otsus; liivia; moekunstnik
7,9,4,4,4,5,6,5,4,13,keskkond; vaimuinimene; poliitiline; vaim; kilumets; margit; haapsalu; otsus; liivia; moekunstnik
7,10,4,4,4,6,6,5,4,13,keskkond; vaimuinimene; poliitiline; vaim; kilumets; margit; haapsalu; otsus; liivia; moekunstnik
7,9,6,5,5,5,6,5,4,13,keskkond; vaimuinimene; poliitiline; vaim; kilumets; margit; haapsalu; otsus; liivia; moekunstnik
7,9,8,5,5,6,5,5,5,13,keskkond; vaimuinimene; poliitiline; vaim; kilumets; margit; haapsalu; otsus; liivia; moekunstnik
7,9,6,6,5,4,7,5,5,13,keskkond; vaimuinimene; vaim; poliitiline; kilumets; margit; haapsalu; otsus; liivia; moekunstnik
7,7,6,7,5,6,5,6,6,13,keskkond; vaimuinimene; kilumets; margit; haapsalu; poliitiline; vaim; otsus; liivia; moekunstnik
6,5,8,8,5,4,5,5,6,13,keskkond; vaimuinimene; kilumets; margit; haapsalu; vaim; poliitiline; otsus; liivia; moekunstnik
5,5,6,5,7,6,5,5,7,13,keskkond; vaimuinimene; kilumets; margit; haapsalu; vaim; poliitiline; otsus; liivia; moekunstnik
4,6,7,7,7,5,5,5,7,13,keskkond; vaimuinimene; kilumets; margit; haapsalu; vaim; poliitiline; otsus; liivia; moekunstnik
4,2,5,6,7,3,4,4,7,13,keskkond; vaimuinimene; kilumets; margit; haapsalu; vaim; poliitiline; otsus; liivia; moekunstnik
