EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,7,7,5,5,6,6,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,5,7,7,5,5,6,5,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,6,7,7,5,5,6,5,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,4,5,7,5,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,6,5,7,5,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,6,7,7,4,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,7,6,7,4,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,6,7,7,6,7,6,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,6,7,7,6,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,6,7,7,6,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,7,6,7,7,6,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
