EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,3,3,5,3,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,5,2,3,3,5,2,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,5,2,3,4,5,2,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,5,2,3,5,5,3,4,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,5,2,2,5,5,3,4,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
3,6,3,3,5,4,4,5,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
3,5,3,3,5,2,4,3,4,12,budism; trumm; panteon; nukuteater; birma
3,2,3,3,6,3,4,4,5,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,2,4,4,6,3,3,4,5,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,2,2,4,6,3,3,3,5,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,2,4,4,5,3,5,4,5,12,budism; trumm; puhkpill; panteon; nukuteater; birma
