EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,7,5,6,5,4,4,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
7,6,7,5,6,6,4,4,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
7,6,7,4,6,6,5,4,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,6,7,4,7,5,6,4,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,6,7,4,7,4,6,7,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,6,7,4,7,4,7,6,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,6,7,5,7,6,7,7,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,7,7,6,7,8,7,7,8,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
4,7,7,7,6,8,7,7,8,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
3,7,7,4,5,6,7,6,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
3,7,8,4,6,7,7,6,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
