EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,4,5,8,5,6,6,14,ani; teater; paat; lava; näitleja; hirm; esinemine; spinning; elmar; endel
8,5,5,4,6,8,6,6,6,14,ani; teater; paat; lava; näitleja; hirm; esinemine; spinning; elmar; endel
8,5,6,5,7,8,6,6,6,14,ani; teater; paat; lava; näitleja; hirm; esinemine; spinning; elmar; endel
8,7,7,6,7,8,6,6,6,14,ani; teater; paat; lava; näitleja; hirm; esinemine; spinning; elmar; endel
7,7,8,6,8,8,6,6,6,14,ani; teater; paat; lava; näitleja; hirm; esinemine; spinning; elmar; endel
9,7,6,7,7,9,7,5,6,14,ani; paat; hirm; endel; teater; lava; näitleja; esinemine; spinning; elmar
8,8,6,7,9,8,6,7,5,14,ani; paat; hirm; endel; teater; lava; näitleja; esinemine; spinning; elmar
7,9,6,8,9,8,7,8,6,14,ani; paat; hirm; endel; teater; lava; näitleja; esinemine; spinning; elmar
8,7,6,8,9,8,4,8,6,14,ani; paat; hirm; endel; teater; lava; näitleja; esinemine; spinning; elmar
5,9,6,7,9,7,5,8,6,14,ani; paat; hirm; endel; teater; lava; näitleja; esinemine; spinning; elmar
6,9,7,6,9,6,5,7,6,14,ani; paat; hirm; endel; teater; lava; näitleja; esinemine; spinning; elmar
