EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,7,7,6,8,7,7,5,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,5,8,8,6,8,6,7,5,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
8,5,6,8,6,8,6,8,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
7,5,7,8,6,10,7,7,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
8,5,8,8,7,11,8,8,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
8,3,10,7,8,10,8,10,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
7,4,8,11,8,8,9,11,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,4,10,10,8,8,8,10,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,6,10,10,8,8,9,10,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,7,8,8,9,9,8,10,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
5,8,8,9,10,9,9,10,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
