EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,3,4,2,3,5,5,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
5,5,4,5,4,3,3,5,5,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
7,5,6,5,5,2,3,5,6,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
7,5,7,6,4,3,4,5,6,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
7,5,7,5,4,3,6,4,6,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
7,5,7,6,6,7,7,8,6,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
6,6,9,8,6,7,8,8,6,12,kristi; raha; lavakas; julgus; näitleja; hall; eriline; mass; aule; tasuline
5,6,7,8,7,8,10,9,6,12,kristi; raha; lavakas; eriline; mass; tasuline; julgus; näitleja; hall; aule
6,6,9,7,6,7,7,9,6,12,kristi; raha; lavakas; eriline; mass; tasuline; julgus; näitleja; hall; aule
6,7,9,6,6,7,6,9,6,12,kristi; raha; lavakas; eriline; mass; tasuline; julgus; näitleja; hall; aule
6,6,8,6,6,10,6,6,6,12,kristi; raha; lavakas; eriline; mass; tasuline; julgus; näitleja; hall; aule
