EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,6,2,0,5,6,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
4,5,6,2,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
4,5,6,4,0,5,6,5,5,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,5,5,3,2,5,6,5,5,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
2,4,6,4,2,5,6,5,5,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
