EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
6,8,5,4,4,7,5,6,7,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
