EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,3,4,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
6,4,3,4,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
6,4,3,4,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
6,4,4,4,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
6,4,4,4,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
6,4,4,4,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
4,5,4,4,3,5,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
4,5,5,6,3,4,4,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
4,4,4,6,3,4,5,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
5,5,5,6,3,5,5,5,7,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
4,7,5,7,4,6,6,5,6,18,thomas; tehnoloogia; kristjan; watson; kamazon; port; võrgustik; arvuti; valitsemine; server; kommentaar
